,MCT_CAT_CD,DONG_CD,GU_CD,Subtract,MO,Deli,DeliSubtract
0,10,520,140,-25.04019240195782,02,0,0.0
1,10,520,140,-51.603539701576814,03,0,0.0
2,10,520,140,-27.654520542832838,04,0,0.0
3,10,520,140,-11.489121711155178,05,0,0.0
4,20,520,140,60.86613482949066,02,0,0.0
5,20,520,140,-61.661637737878294,03,0,0.0
6,20,520,140,-41.63706695212145,04,0,0.0
7,20,520,140,-18.859664065960274,05,0,0.0
8,21,520,140,-6.1132410409398545,02,1,7.816711590296496
9,21,520,140,-38.06294724843265,03,1,-2.247191011235955
10,21,520,140,-34.00542702718689,04,1,-14.587737843551796
11,21,520,140,-8.876930127012834,05,1,10.204081632653061
12,22,520,140,-43.33779981240788,02,0,0.0
13,22,520,140,-59.62551239709144,03,0,0.0
14,22,520,140,-45.37478189652103,04,0,0.0
15,22,520,140,-29.223154876944253,05,0,0.0
16,30,520,140,-91.72705314009661,02,1,6.023454157782516
17,30,520,140,320.42352941176466,03,1,-13.52549889135255
18,30,520,140,1403.3528918692373,04,1,-3.7729435757987764
19,30,520,140,852.3148148148149,05,1,1.288475304223336
20,32,520,140,611.2190812720848,02,1,6.023454157782516
21,32,520,140,362.7620632279534,03,1,-13.52549889135255
22,32,520,140,1012.8033040784718,04,1,-3.7729435757987764
23,32,520,140,1430.8033514046328,05,1,1.288475304223336
24,33,520,140,-10.476308952307924,02,0,0.0
25,33,520,140,-22.458411324902634,03,0,0.0
26,33,520,140,-22.300420700049074,04,0,0.0
27,33,520,140,-10.883105236692245,05,0,0.0
28,34,520,140,-17.847750622392088,02,0,0.0
29,34,520,140,-51.38555329761685,03,0,0.0
30,34,520,140,-55.99623698445618,04,0,0.0
31,34,520,140,-75.26293712812068,05,0,0.0
32,35,520,140,-2.4525568949009404,02,1,21.22002085505735
33,35,520,140,-63.77966340950798,03,1,-6.3120285827709415
34,35,520,140,-50.36807106225309,04,1,-8.776167471819646
35,35,520,140,23.76634506399801,05,1,-1.4409832591650773
36,40,520,140,-23.502186890141946,02,1,17.86028334147533
37,40,520,140,-31.857395306112785,03,1,8.289269051321929
38,40,520,140,-19.80315173264493,04,1,0.0038880248833592533
39,40,520,140,-8.145818761665693,05,1,0.46440857369674515
40,42,520,140,-16.13344997686977,02,1,36.89535251343661
41,42,520,140,-33.429851416375755,03,1,1.248799231508165
42,42,520,140,-62.700873322990105,04,1,-12.088379009985129
43,42,520,140,-45.12372710346477,05,1,-0.2599090318388564
44,43,520,140,-79.35522034900917,02,0,0.0
45,43,520,140,-100.0,03,0,0.0
46,43,520,140,-77.21268163804491,04,0,0.0
47,43,520,140,-25.533141210374637,05,0,0.0
48,44,520,140,-16.000543450571474,02,1,-1.9334532374100721
49,44,520,140,-38.513741181425715,03,1,-22.511848341232227
50,44,520,140,-26.926770201202427,04,1,-17.172706496898467
51,44,520,140,-15.310126939351198,05,1,-16.882297254654468
52,50,520,140,-21.179097707633083,02,1,20.330237358101137
53,50,520,140,-53.073503323572794,03,1,-2.9768177028451004
54,50,520,140,-28.958127876397104,04,1,6.327744726879395
55,50,520,140,10.501828708789434,05,1,3.8239757207890746
56,52,520,140,26.549108908061037,02,0,0.0
57,52,520,140,-3.005475400663443,03,0,0.0
58,52,520,140,-30.619103595864605,04,0,0.0
59,52,520,140,-22.233356715769784,05,0,0.0
60,62,520,140,-77.92872744055738,02,0,0.0
61,62,520,140,-76.3347692780601,03,0,0.0
62,62,520,140,-72.39310354379238,04,0,0.0
63,62,520,140,-52.36173367603042,05,0,0.0
64,70,520,140,-1.8657587987819584,02,1,11.906855560983555
65,70,520,140,-6.803293196627634,03,1,5.526179367547953
66,70,520,140,-17.982014871400622,04,1,0.0025920165889061694
67,70,520,140,-15.123902160009479,05,1,0.30960571579783014
68,71,520,140,-34.340394778280825,02,1,15.856443719412724
69,71,520,140,-51.07133255279476,03,1,-0.25266704098820886
70,71,520,140,-44.47251146793156,04,1,-20.703125
71,71,520,140,-20.932618618870137,05,1,-21.110221510541766
72,80,520,140,-3.7564258916751645,02,0,0.0
73,80,520,140,-15.058650721801428,03,0,0.0
74,80,520,140,-9.335317518156556,04,0,0.0
75,80,520,140,3.971990842621638,05,0,0.0
76,81,520,140,32.55256563895849,02,1,45.05800464037123
77,81,520,140,-0.3611482471776589,03,1,24.90556206851635
78,81,520,140,1.1206104799886583,04,1,-10.503629764065337
79,81,520,140,20.4123520748906,05,1,4.486943729312247
80,92,520,140,-1.492839773034315,02,0,0.0
81,92,520,140,-5.872944789200947,03,0,0.0
82,92,520,140,-5.765831657219479,04,0,0.0
83,92,520,140,37.83249562319986,05,0,0.0
